"Linked Products","Linked Products",module,Sutunam_LinkedProduct
"Add Linked Products","Add Linked Products",module,Sutunam_LinkedProduct
"Related Products, Up-Sells, Cross-Sells and Linked Products","Related Products, Up-Sells, Cross-Sells and Linked",module,Sutunam_LinkedProduct
"Products that are similar in style but differ in size, color, etc.","Products that are similar in style but differ in size, color, etc.",module,Sutunam_LinkedProduct
"Enable","Enable",module,Sutunam_LinkedProduct
"Show on product listing","Show on product listing",module,Sutunam_LinkedProduct
"Show on product view","Show on product view",module,Sutunam_LinkedProduct
"Show attribute text","Show attribute text",module,Sutunam_LinkedProduct
"Show available linked products count on product listing instead of the actual products","Show available linked products count on product listing instead of the actual products",module,Sutunam_LinkedProduct
"Show stock status","Show stock status",module,Sutunam_LinkedProduct
"Show stock status text on product listing","Show stock status text on product listing",module,Sutunam_LinkedProduct
"Show stock status text on product view","Show stock status text on product view",module,Sutunam_LinkedProduct
